JOHNNIE CHESTNUT FULL BROWN,JOHNNIE CHESTNUT FULL BROWN,1,60076,115,10208,PIECE,499,0,0,4812456088626,60076-17,,SCO0028,SGC0003,SFI0002,SGE0005,,SMT0002,SPS0037,SSH0007,SDI00269,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
ALEXA YELLOW,ALEXA YELLOW,1,60083,115,10815,PIECE,399,0,0,4812456076975,60083-5,,SCO0028,SGC0003,,SGE0028,,,SPS0037,SSH0007,,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
DREW BLACK MATTE,DREW BLACK MATTE,1,60084,115,10063,PIECE,399,0,0,4812456084178,60084-2,,SCO0028,SGC0003,SFI0001,,,,SPS0037,SSH0008,SDI00269,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
DREW CHERRY WOOD,DREW CHERRY WOOD,1,60084,115,10194,PIECE,399,0,0,4812456084185,60084-4,,SCO0028,SGC0003,,,,,SPS0037,SSH0008,SDI00269,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
SADIE CHESTNUT,SADIE CHESTNUT,1,60092,115,10203,PIECE,399,0,0,4812456085045,60092-15,,SCO0028,SGC0003,,SGE0005,,SMT0002,SPS0037,SSH0002,,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
SADIE DUSTY ROSE,SADIE DUSTY ROSE,1,60092,115,10326,PIECE,499,0,0,4812456085052,60092-16,,SCO0028,SGC0003,,SGE0014,,SMT0002,SPS0037,SSH0002,,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
SADIE BLACK MATTE DARK GREEN,SADIE BLACK MATTE DARK GREEN,1,60092,115,10072,PIECE,499,0,0,4812456085403,60092-17,,SCO0028,SGC0003,SFI0001,SGE0033,,SMT0002,SPS0037,SSH0002,,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
SADIE BLACK MATTE FULL SMOKE,SADIE BLACK MATTE FULL SMOKE,1,60092,115,10077,PIECE,499,0,0,4812456088169,60092-18,,SCO0028,SGC0003,SFI0001,SGE0033,,SMT0002,SPS0037,SSH0002,,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
SADIE CARAMEL CARAMEL GRADIENT,SADIE CARAMEL CARAMEL GRADIENT,1,60092,115,10162,PIECE,499,0,0,4812456088176,60092-19,,SCO0028,SGC0003,,SGE0005,,SMT0002,SPS0037,SSH0002,,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
SADIE BLACK MATTE,SADIE BLACK MATTE,1,60092,115,10063,PIECE,399,0,0,4812456083027,60092-2,,SCO0028,SGC0003,SFI0001,,,SMT0002,SPS0037,SSH0002,,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
KERRY BLACK,KERRY BLACK,1,60093,115,10042,PIECE,399,0,0,4812456080620,60093-1,,SCO0028,SGC0003,,SGE0033,,SMT0002,SPS0037,SSH0004,SDI00269,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
KERRY DUSTY ROSE,KERRY DUSTY ROSE,1,60093,115,10326,PIECE,399,0,0,4812456084758,60093-10,,SCO0028,SGC0003,,SGE0005,,SMT0002,SPS0037,SSH0004,SDI00269,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
KERRY AMBER MARBLE,KERRY AMBER MARBLE,1,60093,115,10005,PIECE,399,0,0,4812456084765,60093-11,,SCO0028,SGC0003,,SGE0038,,SMT0002,SPS0037,SSH0004,SDI00269,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
KERRY CHAMPAGNE,KERRY CHAMPAGNE,1,60093,115,10169,PIECE,399,0,0,4812456084772,60093-12,,SCO0028,SGC0003,,SGE0010,,SMT0002,SPS0037,SSH0004,SDI00269,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
KERRY CHESTNUT,KERRY CHESTNUT,1,60093,115,10203,PIECE,399,0,0,4812456084789,60093-13,,SCO0028,SGC0003,,SGE0005,,SMT0002,SPS0037,SSH0004,SDI00269,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
KERRY CHESTNUT CARAMEL GRDT,KERRY CHESTNUT CARAMEL GRDT,1,60093,115,10205,PIECE,399,0,0,4812456088015,60093-14,,SCO0028,SGC0003,,SGE0005,,SMT0002,SPS0037,SSH0004,SDI00269,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
KERRY DARK TORTOISE,KERRY DARK TORTOISE,1,60093,115,10309,PIECE,399,0,0,4812456081207,60093-4,,SCO0028,SGC0003,,SGE0038,,SMT0002,SPS0037,SSH0004,SDI00269,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
CLARA DARK BROWN,CLARA DARK BROWN,1,60097,115,10291,PIECE,499,0,0,4812456079693,60097-4,,SCO0028,SGC0003,,,,,SPS0037,SSH0007,,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
KATHARINE TORTOISE,KATHARINE TORTOISE,1,60098,115,10766,PIECE,399,0,0,4812456079747,60098-4,,SCO0028,SGC0003,,,,,SPS0037,SSH0003,,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
BIANCA TRANS.CLEAR W/ TORTO,BIANCA TRANS.CLEAR W/ TORTO,1,60099,115,10767,PIECE,499,0,0,4812456080781,60099-13,,SCO0028,SGC0003,,SGE0038,,SMT0002,SPS0037,SSH0002,SDI00270,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
BIANCA GREY MATTE FULL SMOKE,BIANCA GREY MATTE FULL SMOKE,1,60099,115,10417,PIECE,599,0,0,4812456086264,60099-16,,SCO0028,SGC0003,,SGE0009,,SMT0002,SPS0037,SSH0002,SDI00270,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
BIANCA YELLOW TORT GREEN,BIANCA YELLOW TORT GREEN,1,60099,115,10823,PIECE,599,0,0,4812456086271,60099-17,,SCO0028,SGC0003,SFI0002,SGE0028,,SMT0002,SPS0037,SSH0002,SDI00270,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
BIANCA DUSTY ROSE GREEN GDT,BIANCA DUSTY ROSE GREEN GDT,1,60099,115,10328,PIECE,499,0,0,4812456086288,60099-18,,SCO0028,SGC0003,SFI0002,,,SMT0002,SPS0037,SSH0002,SDI00270,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
BIANCA BLACK MATTE FULL BROWN,BIANCA BLACK MATTE FULL BROWN,1,60099,115,10075,PIECE,499,0,0,4812456088633,60099-19,,SCO0028,SGC0003,SFI0001,SGE0033,,SMT0002,SPS0037,SSH0002,SDI00270,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
BIANCA BLACK MATTE GREY MIRROR,BIANCA BLACK MATTE GREY MIRROR,1,60099,115,10082,PIECE,499,0,0,4812456083577,60099-2,,SCO0028,SGC0003,SFI0001,SGE0033,,SMT0002,SPS0037,SSH0002,SDI00270,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
BIANCA DK HONEY/FULL DK GREEN,BIANCA DK HONEY/FULL DK GREEN,1,60099,115,10319,PIECE,599,0,0,4812456088640,60099-20,,SCO0028,SGC0003,SFI0002,SGE0036,,SMT0002,SPS0037,SSH0002,SDI00270,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
BIANCA YELLOW TORT/LT SMK GDT,BIANCA YELLOW TORT/LT SMK GDT,1,60099,115,10828,PIECE,599,0,0,4812456088657,60099-21,,SCO0028,SGC0003,,SGE0038,,SMT0002,SPS0037,SSH0002,SDI00270,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
BIANCA CHARCOAL/SILVER MIRROR,BIANCA CHARCOAL/SILVER MIRROR,1,60099,115,10187,PIECE,599,0,0,4812456094429,60099-22,,SCO0028,SGC0003,,SGE0033,,SMT0002,SPS0037,SSH0002,SDI00270,,,201704,0,0,,25,,,,,,429,,,,,,,,,,,,,,
BIANCA SHIRAZ/DK BURGUNDY GDT,BIANCA SHIRAZ/DK BURGUNDY GDT,1,60099,115,10839,PIECE,599,0,0,4812456094641,60099-23,,SCO0028,SGC0003,SFI0002,,,SMT0002,SPS0037,SSH0002,SDI00270,,,201704,0,0,,25,,,,,,429,,,,,,,,,,,,,,
BIANCA DARK BROWN SOLID,BIANCA DARK BROWN SOLID,1,60099,115,10293,PIECE,499,0,0,4812456080668,60099-6,,SCO0028,SGC0003,SFI0002,SGE0005,,SMT0002,SPS0037,SSH0002,SDI00270,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
BIANCA JET BLACK,BIANCA JET BLACK,1,60099,115,10461,PIECE,499,0,0,4812456084192,60099-9,,SCO0028,SGC0003,,SGE0033,,SMT0002,SPS0037,SSH0002,SDI00270,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
LANA BRUNETTE,LANA BRUNETTE,1,60100,115,10153,PIECE,499,0,0,4812456084222,60100-1,,SCO0028,SGC0003,,SGE0005,,,SPS0037,SSH0002,SDI00267,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
LANA JET BLACK GREY MIRROR,LANA JET BLACK GREY MIRROR,1,60100,115,10477,PIECE,499,0,0,4812456084239,60100-2,,SCO0028,SGC0003,,SGE0033,,,SPS0037,SSH0002,SDI00267,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
LANA COLA CARAMEL GRADIENT,LANA COLA CARAMEL GRADIENT,1,60100,115,10271,PIECE,499,0,0,4812456085847,60100-6,,SCO0028,SGC0003,,SGE0005,,,SPS0037,SSH0002,SDI00267,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
ERIC MATTE DEMI,ERIC MATTE DEMI,1,60105,115,10545,PIECE,499,0,0,4812456079884,60105-2,,SCO0028,SGC0003,SFI0001,,,,SPS0037,SSH0007,,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
ERIC SOLID BROWN,ERIC SOLID BROWN,1,60105,115,10718,PIECE,499,0,0,4812456080675,60105-6,,SCO0028,SGC0003,,,,,SPS0037,SSH0007,,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
ERIC WHITE,ERIC WHITE,1,60105,115,10797,PIECE,499,0,0,4812456080330,60105-7,,SCO0028,SGC0003,,,,,SPS0037,SSH0007,,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
TIBBY GOLD TWO-TONED,TIBBY GOLD TWO-TONED,1,60107,115,10382,PIECE,499,0,0,4812456084246,60107-1,,SCO0028,SGC0003,,,,,SPS0037,SSH0006,SDI00269,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
TIBBY SHINY GOLD,TIBBY SHINY GOLD,1,60107,115,10682,PIECE,499,0,0,4812456083591,60107-5,,SCO0028,SGC0003,,,,,SPS0037,SSH0006,SDI00269,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
TIBBY SILVER,TIBBY SILVER,1,60107,115,10692,PIECE,499,0,0,4812456079952,60107-6,,SCO0028,SGC0003,,SGE0024,,,SPS0037,SSH0006,SDI00269,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
TIMMY BLACK MATTE GREEN MIRROR,TIMMY BLACK MATTE GREEN MIRROR,1,60108,115,10081,PIECE,399,0,0,4812456084062,60108-1,,SCO0028,SGC0003,SFI0001,SGE0033,,SMT0004,SPS0037,SSH0008,SDI00267,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
TIMMY TORTE MATTE,TIMMY TORTE MATTE,1,60108,115,10764,PIECE,399,0,0,4812456084093,60108-10,,SCO0028,SGC0003,SFI0001,,,SMT0004,SPS0037,SSH0008,SDI00267,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
TIMMY BROWN TORT GOLD/SMK GDT,TIMMY BROWN TORT GOLD/SMK GDT,1,60108,115,10147,PIECE,399,0,0,4812456088671,60108-14,,SCO0028,SGC0003,,SGE0005,,SMT0004,SPS0037,SSH0008,SDI00267,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
TIMMY CHARCOAL F,TIMMY CHARCOAL F,1,60108,115,10862,PIECE,499,0,0,4812456096119,60108-20,,SCO0028,SGC0003,,SGE0033,,SMT0004,SPS0037,SSH0008,SDI00267,,,201707,0,0,,25,,,,,,339,,,,,,,,,,,,,,
TIMMY COFFEE F,TIMMY COFFEE F,1,60108,115,10885,PIECE,499,0,0,4812456096126,60108-21,,SCO0028,SGC0003,,SGE0005,,SMT0004,SPS0037,SSH0008,SDI00267,,,201707,0,0,,25,,,,,,339,,,,,,,,,,,,,,
TIMMY INK F,TIMMY INK F,1,60108,115,10851,PIECE,499,0,0,4812456096133,60108-22,,SCO0028,SGC0003,,SGE0033,,SMT0004,SPS0037,SSH0008,SDI00267,,,201707,0,0,,25,,,,,,339,,,,,,,,,,,,,,
TIMMY CAMO F,TIMMY CAMO F,1,60108,115,10846,PIECE,499,0,0,4812456096485,60108-23,,SCO0028,SGC0003,,SGE0010,,SMT0004,SPS0037,SSH0008,SDI00267,,,201709,0,0,,25,,,,,,339,,,,,,,,,,,,,,
TIMMY JET BLACK,TIMMY JET BLACK,1,60108,115,10461,PIECE,399,0,0,4812456082532,60108-5,,SCO0028,SGC0003,,,,SMT0004,SPS0037,SSH0008,SDI00267,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
TIMMY SPOTTED TORT GREEN MIRROR,TIMMY SPOTTED TORT GREEN MIRROR,1,60108,115,10724,PIECE,399,0,0,4812456082549,60108-9,,SCO0028,SGC0003,,,,SMT0004,SPS0037,SSH0008,SDI00267,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
